id,activity_id,project_id,description,category,severity,status,assigned_to,date_raised,delay_impact_days
iss_00001,act_001_01,proj_001,Key equipment broke down mid-task on Site Survey & Mobilization.,equipment_breakdown,medium,resolved,Contractor B,2022-01-12,0
iss_00002,act_001_01,proj_001,Key equipment broke down mid-task on Site Survey & Mobilization.,equipment_breakdown,medium,resolved,QA Inspector,2022-01-11,0
iss_00003,act_001_02,proj_001,Insufficient crew available; Demolition & Strip-Out understaffed.,labor_shortage,critical,resolved,Contractor B,2022-01-21,0
iss_00004,act_001_02,proj_001,Safety non-compliance flagged during Demolition & Strip-Out.,safety,medium,resolved,Project Engineer,2022-01-19,0
iss_00005,act_001_02,proj_001,Safety non-compliance flagged during Demolition & Strip-Out.,safety,medium,resolved,Site Manager,2022-01-25,0
iss_00006,act_001_03,proj_001,Undocumented additional work added to Structural Repairs & Reinforcement.,scope_creep,low,resolved,QA Inspector,2022-02-08,0
iss_00007,act_001_03,proj_001,Adverse weather halted outdoor work on Structural Repairs & Reinforcement.,weather,high,open,Contractor A,2022-02-09,2
iss_00008,act_001_03,proj_001,Client-requested scope change impacts Structural Repairs & Reinforcement.,design_change,medium,resolved,Procurement Lead,2022-02-04,0
iss_00009,act_001_03,proj_001,Adverse weather halted outdoor work on Structural Repairs & Reinforcement.,weather,low,resolved,Contractor B,2022-02-08,0
iss_00010,act_001_04,proj_001,Insufficient crew available; Waterproofing & Damp Proofing understaffed.,labor_shortage,low,open,Contractor B,2022-02-26,1
iss_00011,act_001_04,proj_001,Delivery of Waterproofing & Damp Proofing delayed by supplier.,material_delay,medium,open,QA Inspector,2022-02-26,0
iss_00012,act_001_04,proj_001,Municipal inspection failed; rework needed on Waterproofing & Damp Proofing.,inspection_fail,high,resolved,Project Engineer,2022-02-25,0
iss_00013,act_001_04,proj_001,Key equipment broke down mid-task on Waterproofing & Damp Proofing.,equipment_breakdown,medium,resolved,Site Manager,2022-02-24,0
iss_00014,act_001_05,proj_001,Insufficient crew available; Plumbing Rough-in understaffed.,labor_shortage,low,resolved,Safety Officer,2022-03-03,0
iss_00015,act_001_05,proj_001,Key equipment broke down mid-task on Plumbing Rough-in.,equipment_breakdown,low,resolved,Contractor B,2022-02-20,0
iss_00016,act_001_05,proj_001,Delivery of Plumbing Rough-in delayed by supplier.,material_delay,low,resolved,Project Engineer,2022-02-24,0
iss_00017,act_001_05,proj_001,Undocumented additional work added to Plumbing Rough-in.,scope_creep,low,resolved,QA Inspector,2022-02-22,0
iss_00018,act_001_06,proj_001,Municipal inspection failed; rework needed on Electrical Wiring & Conduits.,inspection_fail,critical,resolved,Client PM,2022-02-21,0
iss_00019,act_001_06,proj_001,Insufficient crew available; Electrical Wiring & Conduits understaffed.,labor_shortage,medium,resolved,Contractor B,2022-02-25,0
iss_00020,act_001_06,proj_001,Safety non-compliance flagged during Electrical Wiring & Conduits.,safety,high,resolved,Safety Officer,2022-02-23,0
iss_00021,act_001_06,proj_001,Municipal inspection failed; rework needed on Electrical Wiring & Conduits.,inspection_fail,low,resolved,Contractor A,2022-02-22,0
iss_00022,act_001_07,proj_001,Insufficient crew available; HVAC & Ventilation Installation understaffed.,labor_shortage,low,resolved,Project Engineer,2022-02-23,0
iss_00023,act_001_07,proj_001,Undocumented additional work added to HVAC & Ventilation Installation.,scope_creep,critical,open,Safety Officer,2022-02-24,4
iss_00024,act_001_07,proj_001,Undocumented additional work added to HVAC & Ventilation Installation.,scope_creep,critical,open,Contractor B,2022-02-20,5
iss_00025,act_001_07,proj_001,Adverse weather halted outdoor work on HVAC & Ventilation Installation.,weather,low,resolved,Client PM,2022-02-28,0
iss_00026,act_001_08,proj_001,Safety non-compliance flagged during Floor Leveling & Screed.,safety,high,resolved,Contractor A,2022-03-14,0
iss_00027,act_001_08,proj_001,Insufficient crew available; Floor Leveling & Screed understaffed.,labor_shortage,medium,resolved,Site Manager,2022-03-10,0
iss_00028,act_001_08,proj_001,Municipal inspection failed; rework needed on Floor Leveling & Screed.,inspection_fail,medium,open,Site Manager,2022-03-11,0
iss_00029,act_001_09,proj_001,Key equipment broke down mid-task on Tiling — Floors & Wet Areas.,equipment_breakdown,medium,resolved,Contractor A,2022-03-25,0
iss_00030,act_001_09,proj_001,Undocumented additional work added to Tiling — Floors & Wet Areas.,scope_creep,high,resolved,QA Inspector,2022-04-01,0
iss_00031,act_001_09,proj_001,Municipal inspection failed; rework needed on Tiling — Floors & Wet Areas.,inspection_fail,low,open,Project Engineer,2022-03-20,4
iss_00032,act_001_10,proj_001,Undocumented additional work added to Wall Plastering & Screeding.,scope_creep,medium,resolved,Client PM,2022-03-13,0
iss_00033,act_001_10,proj_001,Client-requested scope change impacts Wall Plastering & Screeding.,design_change,low,resolved,Contractor A,2022-03-11,0
iss_00034,act_001_10,proj_001,Client-requested scope change impacts Wall Plastering & Screeding.,design_change,low,open,Contractor B,2022-03-13,0
iss_00035,act_001_11,proj_001,Adverse weather halted outdoor work on False Ceiling & Insulation.,weather,low,resolved,Project Engineer,2022-03-29,0
iss_00036,act_001_11,proj_001,Insufficient crew available; False Ceiling & Insulation understaffed.,labor_shortage,low,resolved,Safety Officer,2022-03-31,0
iss_00037,act_001_11,proj_001,Insufficient crew available; False Ceiling & Insulation understaffed.,labor_shortage,critical,resolved,Client PM,2022-03-28,0
iss_00038,act_001_12,proj_001,Key equipment broke down mid-task on Painting — Primer & Finish Coats.,equipment_breakdown,high,resolved,Site Manager,2022-04-18,0
iss_00039,act_001_12,proj_001,Delivery of Painting — Primer & Finish Coats delayed by supplier.,material_delay,high,open,Contractor B,2022-04-12,2
iss_00040,act_001_12,proj_001,Delivery of Painting — Primer & Finish Coats delayed by supplier.,material_delay,medium,resolved,Contractor A,2022-04-19,0
iss_00041,act_001_13,proj_001,"Key equipment broke down mid-task on Carpentry, Joinery & Built-ins.",equipment_breakdown,critical,resolved,Project Engineer,2022-05-12,0
iss_00042,act_001_13,proj_001,"Client-requested scope change impacts Carpentry, Joinery & Built-ins.",design_change,medium,open,QA Inspector,2022-05-02,5
iss_00043,act_001_13,proj_001,"Undocumented additional work added to Carpentry, Joinery & Built-ins.",scope_creep,low,resolved,Safety Officer,2022-05-02,0
iss_00044,act_001_14,proj_001,"Undocumented additional work added to Fixtures, Fittings & Sanitaryware.",scope_creep,low,open,Contractor B,2022-05-21,1
iss_00045,act_001_14,proj_001,"Undocumented additional work added to Fixtures, Fittings & Sanitaryware.",scope_creep,critical,open,Site Manager,2022-05-22,2
iss_00046,act_001_14,proj_001,"Adverse weather halted outdoor work on Fixtures, Fittings & Sanitaryware.",weather,high,resolved,Project Engineer,2022-05-19,0
iss_00047,act_001_15,proj_001,"Adverse weather halted outdoor work on Final Inspection, Snag & Handover.",weather,low,open,QA Inspector,2022-05-29,5
iss_00048,act_001_15,proj_001,"Adverse weather halted outdoor work on Final Inspection, Snag & Handover.",weather,high,resolved,Contractor A,2022-06-01,0
iss_00049,act_002_01,proj_002,Key equipment broke down mid-task on Site Survey & Mobilization.,equipment_breakdown,low,resolved,Site Manager,2022-03-02,0
iss_00050,act_002_01,proj_002,Client-requested scope change impacts Site Survey & Mobilization.,design_change,high,resolved,Site Manager,2022-03-07,0
iss_00051,act_002_02,proj_002,Delivery of Demolition & Strip-Out delayed by supplier.,material_delay,critical,open,Safety Officer,2022-03-21,5
iss_00052,act_002_02,proj_002,Insufficient crew available; Demolition & Strip-Out understaffed.,labor_shortage,low,resolved,Procurement Lead,2022-03-12,0
iss_00053,act_002_02,proj_002,Municipal inspection failed; rework needed on Demolition & Strip-Out.,inspection_fail,medium,open,Client PM,2022-03-20,0
iss_00054,act_002_03,proj_002,Insufficient crew available; Structural Repairs & Reinforcement understaffed.,labor_shortage,low,open,Client PM,2022-03-26,4
iss_00055,act_002_03,proj_002,Key equipment broke down mid-task on Structural Repairs & Reinforcement.,equipment_breakdown,low,resolved,Site Manager,2022-03-30,0
iss_00056,act_002_03,proj_002,Key equipment broke down mid-task on Structural Repairs & Reinforcement.,equipment_breakdown,medium,resolved,Client PM,2022-03-30,0
iss_00057,act_002_03,proj_002,Key equipment broke down mid-task on Structural Repairs & Reinforcement.,equipment_breakdown,medium,resolved,Contractor A,2022-04-07,0
iss_00058,act_002_04,proj_002,Adverse weather halted outdoor work on Waterproofing & Damp Proofing.,weather,critical,open,Safety Officer,2022-04-12,2
