id,activity_id,project_id,name,unit,quantity,unit_price,unit_cost,total_price,total_cost,margin_pct,currency
boq_00001,act_001_01,proj_001,Site Survey & Layout,lumpsum,1,3262,2283,3262,2283,30.0,INR
boq_00002,act_001_01,proj_001,Temporary Site Office Setup,lumpsum,1,8016,5611,8016,5611,30.0,INR
boq_00003,act_001_01,proj_001,Safety Hoarding & Signage,lumpsum,1,2042,1429,2042,1429,30.0,INR
boq_00004,act_001_02,proj_001,Demolition Labour & Equipment,lumpsum,1,12444,8711,12444,8711,30.0,INR
boq_00005,act_001_02,proj_001,Debris Removal & Disposal,trip,6,5462,3823,32772,22938,30.0,INR
boq_00006,act_001_02,proj_001,Asbestos Survey & Removal,sqm,30,3920,2744,117600,82320,30.0,INR
boq_00007,act_001_03,proj_001,Reinforced Concrete M30,m3,15,9196,6437,137940,96555,30.0,INR
boq_00008,act_001_03,proj_001,Steel Rebar TMT 12mm,tonne,6,4093,2865,24558,17190,30.0,INR
boq_00009,act_001_03,proj_001,Shuttering Plywood 19mm,sheets,30,2119,1483,63570,44490,30.0,INR
boq_00010,act_001_03,proj_001,Structural Grouting Compound,bags,20,1922,1346,38440,26920,30.0,INR
boq_00011,act_001_04,proj_001,SBR Waterproofing Membrane,sqm,120,4481,3137,537720,376440,30.0,INR
boq_00012,act_001_04,proj_001,Crystalline Waterproofing Slurry,kg,50,2874,2012,143700,100600,30.0,INR
boq_00013,act_001_04,proj_001,Drainage Board & Filter Fabric,sqm,80,1809,1266,144720,101280,30.0,INR
boq_00014,act_001_05,proj_001,CPVC Pipes 1 inch,meters,180,2904,2033,522720,365940,30.0,INR
boq_00015,act_001_05,proj_001,uPVC Soil Pipes 4 inch,meters,60,1493,1045,89580,62700,30.0,INR
boq_00016,act_001_05,proj_001,GI Fittings Set,set,1,1274,892,1274,892,30.0,INR
boq_00017,act_001_05,proj_001,Water Storage Tank 1000L,unit,2,6864,4805,13728,9610,30.0,INR
boq_00018,act_001_06,proj_001,FR Copper Wire 4 sq mm,meters,250,3935,2755,983750,688750,30.0,INR
boq_00019,act_001_06,proj_001,MCB Distribution Board 18-way,unit,2,5428,3800,10856,7600,30.0,INR
boq_00020,act_001_06,proj_001,PVC Conduit 25mm,meters,150,1144,801,171600,120150,30.0,INR
boq_00021,act_001_06,proj_001,Switches & Sockets (Modular),set,1,3133,2193,3133,2193,30.0,INR
boq_00022,act_001_07,proj_001,Cassette AC Unit 2 Ton,unit,4,14014,9810,56056,39240,30.0,INR
boq_00023,act_001_07,proj_001,Insulated Ducting,meters,40,4820,3374,192800,134960,30.0,INR
boq_00024,act_001_07,proj_001,AHU Return Air Grilles,unit,12,1829,1280,21948,15360,30.0,INR
boq_00025,act_001_07,proj_001,Refrigerant Copper Pipes,meters,60,2725,1907,163500,114420,30.0,INR
boq_00026,act_001_08,proj_001,Self-Leveling Compound,bags,20,3392,2374,67840,47480,30.0,INR
boq_00027,act_001_08,proj_001,Bonding Agent SBR,liters,30,1383,968,41490,29040,30.0,INR
boq_00028,act_001_08,proj_001,DPM Sheet 250 micron,sqm,200,2163,1514,432600,302800,30.0,INR
boq_00029,act_001_09,proj_001,Vitrified Tiles 800x800mm,sqm,200,8237,5766,1647400,1153200,30.0,INR
boq_00030,act_001_09,proj_001,Ceramic Tiles 300x600mm,sqm,80,3931,2752,314480,220160,30.0,INR
boq_00031,act_001_09,proj_001,Tile Adhesive C2 Grade,bags,40,2061,1443,82440,57720,30.0,INR
boq_00032,act_001_09,proj_001,Tile Grout Mapei,bags,15,648,454,9720,6810,29.9,INR
boq_00033,act_001_09,proj_001,Tile Edge Trim SS,meters,60,397,278,23820,16680,30.0,INR
boq_00034,act_001_10,proj_001,Gypsum Plaster 20mm,bags,50,2418,1693,120900,84650,30.0,INR
boq_00035,act_001_10,proj_001,POP Punning Compound,bags,30,1172,820,35160,24600,30.0,INR
boq_00036,act_001_10,proj_001,Wire Mesh Reinforcement,sqm,100,875,612,87500,61200,30.1,INR
boq_00037,act_001_11,proj_001,Gypsum Board 12.5mm,sqm,150,3502,2451,525300,367650,30.0,INR
boq_00038,act_001_11,proj_001,GI Suspension System,sqm,150,2612,1829,391800,274350,30.0,INR
boq_00039,act_001_11,proj_001,Glass Wool Insulation 50mm,sqm,100,1771,1240,177100,124000,30.0,INR
boq_00040,act_001_12,proj_001,Premium Emulsion Paint,liters,120,3576,2503,429120,300360,30.0,INR
boq_00041,act_001_12,proj_001,Exterior Weather Shield,liters,60,3961,2772,237660,166320,30.0,INR
boq_00042,act_001_12,proj_001,Primer Coat White,liters,60,1438,1006,86280,60360,30.0,INR
boq_00043,act_001_12,proj_001,Putty Filler Wall,kg,40,701,491,28040,19640,30.0,INR
