id,activity_id,project_id,date,reported_progress,daily_increment,image_uploaded,weather_event,crew_size,notes,has_issue_logged
upd_000001,act_001_01,proj_001,2022-01-10,16.0,15.98,True,True,11,Good progress — crew at full strength.,False
upd_000002,act_001_01,proj_001,2022-01-11,25.6,9.59,False,False,6,Safety toolbox talk held; no incidents.,False
upd_000003,act_001_01,proj_001,2022-01-12,35.4,9.83,True,True,20,Safety toolbox talk held; no incidents.,False
upd_000004,act_001_01,proj_001,2022-01-13,43.7,8.27,True,False,21,Overtime shift completed to recover schedule.,True
upd_000005,act_001_01,proj_001,2022-01-14,57.5,13.81,False,False,4,Night shift deployed to catch up.,False
upd_000006,act_001_01,proj_001,2022-01-15,62.3,4.76,True,False,8,Weather caused brief stoppage.,False
upd_000007,act_001_01,proj_001,2022-01-16,78.6,16.33,True,False,7,Waiting for subcontractor sign-off.,False
upd_000008,act_001_01,proj_001,2022-01-17,87.8,9.17,False,False,18,Client walkthrough conducted.,False
upd_000009,act_001_01,proj_001,2022-01-18,100.0,12.25,True,False,13,All tasks on track per daily plan.,True
upd_000010,act_001_02,proj_001,2022-01-19,11.0,11.03,True,False,10,Productivity affected by heat; hydration breaks added.,False
upd_000011,act_001_02,proj_001,2022-01-20,20.4,9.36,False,False,6,All tasks on track per daily plan.,True
upd_000012,act_001_02,proj_001,2022-01-21,23.6,3.25,True,False,15,Good progress — crew at full strength.,False
upd_000013,act_001_02,proj_001,2022-01-22,31.0,7.41,True,False,6,Safety toolbox talk held; no incidents.,False
upd_000014,act_001_02,proj_001,2022-01-23,40.1,9.11,True,False,18,Overtime shift completed to recover schedule.,False
upd_000015,act_001_02,proj_001,2022-01-24,45.6,5.48,True,False,11,Rework required on small section.,False
upd_000016,act_001_02,proj_001,2022-01-25,53.7,8.15,True,False,5,Night shift deployed to catch up.,False
upd_000017,act_001_02,proj_001,2022-01-26,61.4,7.72,True,False,22,Equipment breakdown caused 2-hour downtime.,False
upd_000018,act_001_02,proj_001,2022-01-27,68.8,7.44,True,False,18,Good progress — crew at full strength.,False
upd_000019,act_001_02,proj_001,2022-01-28,75.8,6.96,True,False,12,Productivity affected by heat; hydration breaks added.,False
upd_000020,act_001_02,proj_001,2022-01-29,84.4,8.6,True,False,11,Good progress — crew at full strength.,False
upd_000021,act_001_02,proj_001,2022-01-30,95.1,10.68,True,False,7,Good progress — crew at full strength.,False
upd_000022,act_001_02,proj_001,2022-01-31,99.9,4.82,True,False,6,Overtime shift completed to recover schedule.,False
upd_000023,act_001_03,proj_001,2022-02-01,7.6,7.59,True,False,21,All tasks on track per daily plan.,False
upd_000024,act_001_03,proj_001,2022-02-02,13.3,5.68,True,False,21,Night shift deployed to catch up.,False
upd_000025,act_001_03,proj_001,2022-02-03,16.6,3.28,True,False,17,Good progress — crew at full strength.,False
upd_000026,act_001_03,proj_001,2022-02-04,25.0,8.43,False,False,12,Client walkthrough conducted.,False
upd_000027,act_001_03,proj_001,2022-02-05,32.7,7.69,True,False,13,All tasks on track per daily plan.,False
upd_000028,act_001_03,proj_001,2022-02-06,35.2,2.47,True,False,9,Client walkthrough conducted.,False
upd_000029,act_001_03,proj_001,2022-02-07,39.7,4.51,False,False,14,Material quality check done; passed.,False
upd_000030,act_001_03,proj_001,2022-02-08,41.9,2.21,False,False,13,Weather caused brief stoppage.,True
upd_000031,act_001_03,proj_001,2022-02-09,43.6,1.66,False,False,6,Productivity affected by heat; hydration breaks added.,True
upd_000032,act_001_03,proj_001,2022-02-10,54.5,10.88,False,False,8,Good progress — crew at full strength.,False
upd_000033,act_001_03,proj_001,2022-02-11,59.1,4.57,True,False,20,All tasks on track per daily plan.,False
upd_000034,act_001_03,proj_001,2022-02-12,66.7,7.6,False,False,10,Productivity affected by heat; hydration breaks added.,False
upd_000035,act_001_03,proj_001,2022-02-13,73.3,6.56,True,False,18,Equipment breakdown caused 2-hour downtime.,False
upd_000036,act_001_03,proj_001,2022-02-14,79.1,5.78,True,False,14,Work progressing as planned.,False
upd_000037,act_001_03,proj_001,2022-02-15,81.6,2.49,True,False,6,Productivity affected by heat; hydration breaks added.,False
upd_000038,act_001_03,proj_001,2022-02-16,84.2,2.59,False,False,14,Minor delays due to material delivery.,False
upd_000039,act_001_03,proj_001,2022-02-17,91.1,6.92,True,False,21,Good progress — crew at full strength.,False
upd_000040,act_001_03,proj_001,2022-02-18,100.0,8.97,True,False,11,Night shift deployed to catch up.,False
upd_000041,act_001_03,proj_001,2022-02-19,100.0,0.12,True,False,17,Waiting for subcontractor sign-off.,False
upd_000042,act_001_04,proj_001,2022-02-20,11.3,11.26,False,False,7,Work progressing as planned.,False
upd_000043,act_001_04,proj_001,2022-02-21,21.0,9.66,False,False,11,Weather caused brief stoppage.,False
upd_000044,act_001_04,proj_001,2022-02-22,32.6,11.64,True,False,12,Material quality check done; passed.,False
upd_000045,act_001_04,proj_001,2022-02-23,46.4,13.85,True,False,21,Minor delays due to material delivery.,False
upd_000046,act_001_04,proj_001,2022-02-24,55.8,9.42,False,False,6,Equipment breakdown caused 2-hour downtime.,True
upd_000047,act_001_04,proj_001,2022-02-25,65.2,9.42,True,False,19,Weather caused brief stoppage.,False
upd_000048,act_001_04,proj_001,2022-02-26,79.2,13.99,True,False,4,Overtime shift completed to recover schedule.,False
upd_000049,act_001_04,proj_001,2022-02-27,91.1,11.94,True,False,17,Productivity affected by heat; hydration breaks added.,False
upd_000050,act_001_04,proj_001,2022-02-28,99.9,8.82,True,False,19,Good progress — crew at full strength.,False
upd_000051,act_001_05,proj_001,2022-02-20,5.7,5.71,True,False,21,Work progressing as planned.,False
upd_000052,act_001_05,proj_001,2022-02-21,12.6,6.9,True,True,20,Equipment breakdown caused 2-hour downtime.,False
upd_000053,act_001_05,proj_001,2022-02-22,22.8,10.25,False,False,6,All tasks on track per daily plan.,False
