id,project_id,project_type,name,category,planned_start_date,planned_end_date,planned_duration_days,actual_start_date,actual_end_date,forecasted_start_date,forecasted_end_date,progress,status,parent_id,depends_on,actual_duration_days,schedule_variance_days
act_001_01,proj_001,residential,Site Survey & Mobilization,prep,2022-01-10,2022-01-17,7,2022-01-10,2022-01-19,2022-01-10,2022-01-19,100,completed,,,9,0
act_001_02,proj_001,residential,Demolition & Strip-Out,demo,2022-01-17,2022-01-29,12,2022-01-19,2022-02-01,2022-01-19,2022-02-01,100,completed,,act_001_01,13,2
act_001_03,proj_001,residential,Structural Repairs & Reinforcement,structural,2022-01-29,2022-02-16,18,2022-02-01,2022-02-20,2022-02-01,2022-02-20,100,completed,,act_001_02,19,3
act_001_04,proj_001,residential,Waterproofing & Damp Proofing,structural,2022-02-16,2022-02-24,8,2022-02-20,2022-03-01,2022-02-20,2022-03-01,100,completed,,act_001_03,9,4
act_001_05,proj_001,residential,Plumbing Rough-in,mep,2022-02-16,2022-03-02,14,2022-02-20,2022-03-08,2022-02-20,2022-03-08,100,completed,,act_001_03,16,4
act_001_06,proj_001,residential,Electrical Wiring & Conduits,mep,2022-02-16,2022-03-02,14,2022-02-20,2022-03-09,2022-02-20,2022-03-09,100,completed,,act_001_03,17,4
act_001_07,proj_001,residential,HVAC & Ventilation Installation,mep,2022-02-16,2022-02-26,10,2022-02-20,2022-03-05,2022-02-20,2022-03-05,100,completed,,act_001_03,13,4
act_001_08,proj_001,residential,Floor Leveling & Screed,finishing,2022-03-02,2022-03-12,10,2022-03-08,2022-03-20,2022-03-08,2022-03-20,100,completed,,act_001_05,12,6
act_001_09,proj_001,residential,Tiling — Floors & Wet Areas,finishing,2022-03-12,2022-03-30,18,2022-03-20,2022-04-10,2022-03-20,2022-04-10,100,completed,,act_001_08,21,8
act_001_10,proj_001,residential,Wall Plastering & Screeding,finishing,2022-03-02,2022-03-16,14,2022-03-09,2022-03-24,2022-03-09,2022-03-24,100,completed,,act_001_06,15,7
act_001_11,proj_001,residential,False Ceiling & Insulation,finishing,2022-03-16,2022-03-26,10,2022-03-26,2022-04-08,2022-03-26,2022-04-08,100,completed,,act_001_10,13,10
act_001_12,proj_001,residential,Painting — Primer & Finish Coats,finishing,2022-03-26,2022-04-09,14,2022-04-08,2022-04-25,2022-04-08,2022-04-25,100,completed,,act_001_11,17,13
act_001_13,proj_001,residential,"Carpentry, Joinery & Built-ins",finishing,2022-04-09,2022-04-25,16,2022-04-28,2022-05-18,2022-04-28,2022-05-18,100,completed,,act_001_12,20,19
act_001_14,proj_001,residential,"Fixtures, Fittings & Sanitaryware",finishing,2022-04-25,2022-05-05,10,2022-05-18,2022-05-29,2022-05-18,2022-05-29,100,completed,,act_001_13,11,23
act_001_15,proj_001,residential,"Final Inspection, Snag & Handover",inspection,2022-05-05,2022-05-11,6,2022-05-29,2022-06-06,2022-05-29,2022-06-06,100,completed,,act_001_14,8,24
act_002_01,proj_002,commercial,Site Survey & Mobilization,prep,2022-03-01,2022-03-08,7,2022-03-01,2022-03-09,2022-03-01,2022-03-09,100,completed,,,8,0
act_002_02,proj_002,commercial,Demolition & Strip-Out,demo,2022-03-08,2022-03-20,12,2022-03-10,2022-03-23,2022-03-10,2022-03-23,100,completed,,act_002_01,13,2
act_002_03,proj_002,commercial,Structural Repairs & Reinforcement,structural,2022-03-20,2022-04-07,18,2022-03-23,2022-04-11,2022-03-23,2022-04-11,100,completed,,act_002_02,19,3
act_002_04,proj_002,commercial,Waterproofing & Damp Proofing,structural,2022-04-07,2022-04-15,8,2022-04-11,2022-04-20,2022-04-11,2022-04-20,100,completed,,act_002_03,9,4
act_002_05,proj_002,commercial,Plumbing Rough-in,mep,2022-04-07,2022-04-21,14,2022-04-11,2022-04-26,2022-04-11,2022-04-26,100,completed,,act_002_03,15,4
act_002_06,proj_002,commercial,Electrical Wiring & Conduits,mep,2022-04-07,2022-04-21,14,2022-04-12,2022-04-28,2022-04-12,2022-04-28,100,completed,,act_002_03,16,5
act_002_07,proj_002,commercial,HVAC & Ventilation Installation,mep,2022-04-07,2022-04-17,10,2022-04-11,2022-04-22,2022-04-11,2022-04-22,100,completed,,act_002_03,11,4
act_002_08,proj_002,commercial,Floor Leveling & Screed,finishing,2022-04-21,2022-05-01,10,2022-04-26,2022-05-08,2022-04-26,2022-05-08,100,completed,,act_002_05,12,5
